category,intent,count
ACCOUNT,edit_account,1000
ACCOUNT,switch_account,1000
ACCOUNT,registration_problems,999
ACCOUNT,create_account,997
ACCOUNT,delete_account,995
ACCOUNT,recover_password,995
CANCEL,check_cancellation_fee,950
CONTACT,contact_customer_service,1000
CONTACT,contact_human_agent,999
DELIVERY,delivery_period,999
DELIVERY,delivery_options,995
FEEDBACK,complaint,1000
FEEDBACK,review,997
INVOICE,check_invoice,1000
INVOICE,get_invoice,999
ORDER,cancel_order,998
ORDER,place_order,998
ORDER,change_order,997
ORDER,track_order,995
PAYMENT,check_payment_methods,999
PAYMENT,payment_issue,999
REFUND,track_refund,998
REFUND,check_refund_policy,997
REFUND,get_refund,997
SHIPPING,set_up_shipping_address,997
SHIPPING,change_shipping_address,973
SUBSCRIPTION,newsletter_subscription,999
