intent,count,percentage
edit_account,1000,3.721346
switch_account,1000,3.721346
check_invoice,1000,3.721346
complaint,1000,3.721346
contact_customer_service,1000,3.721346
delivery_period,999,3.717624
registration_problems,999,3.717624
check_payment_methods,999,3.717624
contact_human_agent,999,3.717624
payment_issue,999,3.717624
newsletter_subscription,999,3.717624
get_invoice,999,3.717624
place_order,998,3.713903
cancel_order,998,3.713903
track_refund,998,3.713903
change_order,997,3.710182
get_refund,997,3.710182
create_account,997,3.710182
check_refund_policy,997,3.710182
review,997,3.710182
set_up_shipping_address,997,3.710182
delivery_options,995,3.702739
delete_account,995,3.702739
recover_password,995,3.702739
track_order,995,3.702739
change_shipping_address,973,3.620869
check_cancellation_fee,950,3.535278
