source_index,instruction,ground_truth_intent,predicted_intent,ground_truth_category,predicted_category,ground_truth_needs_human,predicted_needs_human,json_valid,schema_compliant,generation_truncated,error_tags,raw_model_output
6252,"I have to see how long refunds take, I need help",check_refund_policy,track_refund,REFUND,REFUND,False,False,True,True,False,wrong_intent,"{""intent"":""track_refund"",""category"":""REFUND"",""needs_human"":false,""response"":""I'm on it! I'm here to assist you in checking the estimated time it takes for refunds to be processed. To provide you with the most accurate information, could you please provide me with the {{Refund Number}} or {{Order Number}}? With this information, I'll be able to give you an update on the refund process and the estimated time it will take. Your patience is greatly appreciated!""}"
6268,hlp seeing ur money back guarantee,check_refund_policy,get_refund,REFUND,REFUND,False,True,True,True,False,wrong_intent;wrong_needs_human,"{""intent"":""get_refund"",""category"":""REFUND"",""needs_human"":true,""response"":""I'm sorry to hear that you're experiencing difficulties in seeing your money back. Our company is committed to ensuring a smooth refund process for our customers. To better assist you, could you please provide more details about the specific issue you're facing? This will help us identify the best course of action and ensure that your money is refunded as quickly as possible. Thank you for your cooperation and patience.""}"
24269,assistance using the standard profile,switch_account,contact_human_agent,ACCOUNT,CONTACT,False,True,True,True,False,wrong_intent;wrong_category;wrong_needs_human,"{""intent"":""contact_human_agent"",""category"":""CONTACT"",""needs_human"":true,""response"":""Thank you for reaching out! I'm here to assist you with using the standard profile. To get started, could you please provide me with your contact details? This will allow me to connect you with the appropriate person who can guide you through the process. Rest assured, I'm here to ensure a seamless experience for you.""}"
791,i cannot pay for these product how do i cancel the order,cancel_order,cancel_order,ORDER,ORDER,False,True,True,True,False,wrong_needs_human,"{""intent"":""cancel_order"",""category"":""ORDER"",""needs_human"":true,""response"":""I'm sorry to hear that you're unable to make the payment for the products you purchased. I understand that you may have encountered difficulties or concerns during the payment process. To assist you with canceling the order, I recommend reaching out to our customer support team directly. They will be able to guide you through the cancellation process and provide you with the necessary steps to proceed. Please provide them with the order number or any other relevant details, and they will assist you further. Thank you for your cooperation and understanding.""}"
22896,why I can't enter the secondary delivery address valid,set_up_shipping_address,change_shipping_address,SHIPPING,SHIPPING,False,False,True,True,False,wrong_intent,"{""intent"":""change_shipping_address"",""category"":""SHIPPING"",""needs_human"":false,""response"":""I'm sorry to hear that you're experiencing difficulties in entering the secondary delivery address. Let me assist you in resolving this issue. Could you please provide more details about the specific error message or error message you're encountering? This will help me better understand the problem and provide you with the most appropriate solution. Thank you for your cooperation, and I'm here to help you with this.""}"
26454,can you help me see the compensation status?,track_refund,check_cancellation_fee,REFUND,CANCEL,False,False,True,True,False,wrong_intent;wrong_category,"{""intent"":""check_cancellation_fee"",""category"":""CANCEL"",""needs_human"":false,""response"":""I'm on it! I'm here to assist you in checking the compensation status. To view the details, please provide me with the reference number or any other relevant information related to your cancellation. Once I have the necessary details, I'll be able to provide you with the compensation status. Thank you for your cooperation!""}"
23206,I have troubles submitting the shipping address,set_up_shipping_address,change_shipping_address,SHIPPING,SHIPPING,False,False,True,True,False,wrong_intent,"{""intent"":""change_shipping_address"",""category"":""SHIPPING"",""needs_human"":false,""response"":""I'm sorry to hear that you're experiencing difficulties while submitting your shipping address. I understand how frustrating it can be to encounter issues during the process. To assist you better, could you please provide more details about the specific troubles you're facing? This will help me identify the best solution for you. Thank you for reaching out to us, and I'm here to help you resolve this matter.""}"
15839,I do not know what I need to do to get my bill #37777,get_invoice,check_invoice,INVOICE,INVOICE,False,False,True,True,False,wrong_intent,"{""intent"":""check_invoice"",""category"":""INVOICE"",""needs_human"":false,""response"":""I'm here to help! I'm aware that you're unsure about the steps to take in order to get your bill with the number #{{Invoice Number}}. Let me guide you through the process: 1. Log in to your account on our website. 2. Navigate to the \""Billing\"" or \""Invoices\"" section. 3. Look for the option labeled \""View All Invoices\"" or \""Download Invoices\"". 4. Click on the option to view the bill with the number #{{Invoice Number}}. If you encounter any difficulties or have further questions, please don't hesitate to let me know. I'm here to assist you every step of the way!""}"
6643,can I see in which cases can I ask for a reimbursement?,check_refund_policy,get_refund,REFUND,REFUND,False,True,True,True,False,wrong_intent;wrong_needs_human,"{""intent"":""get_refund"",""category"":""REFUND"",""needs_human"":true,""response"":""I'm here to help! I'm here to assist you in understanding the cases in which you can ask for a reimbursement. To better assist you, could you please provide more details about the situation or the specific circumstances leading to the need for a reimbursement? This will help me provide you with the most accurate information and guide you on the appropriate steps to take. Your feedback is valuable to us, and I'm committed to ensuring your satisfaction.""}"
6623,in what situations can I request to be refunded ?,check_refund_policy,get_refund,REFUND,REFUND,False,True,True,True,False,wrong_intent;wrong_needs_human,"{""intent"":""get_refund"",""category"":""REFUND"",""needs_human"":true,""response"":""We understand that you may have encountered an issue that requires a refund. We apologize for any inconvenience caused. To request a refund, you can reach out to our customer support team either through our website or by calling our dedicated helpline. Our team will assist you in processing the refund and ensure that your concerns are addressed promptly. We appreciate your patience and cooperation in this matter.""}"
