source_index,stable_id,instruction,ground_truth_intent,ground_truth_category,ground_truth_needs_human,base_output,lora_output,base_error_tags,lora_error_tags,base_risk_flags,lora_risk_flags
15936,a7d4934c951abb4855514d33e5dc5c04259a0a3567d54c14666062e10d52bbad,can you help me obtaining refunds?,get_refund,REFUND,True,"{
  ""intent"": ""refund"",
  ""category"": ""REFUND"",
  ""needs_human"": false,
  ""response"": ""We're here to help! To proceed with a refund, please provide your order number. Once we have your order number, we can assist you in obtaining the refund. If you need further assistance, feel free to ask.""
}","{""intent"":""get_refund"",""category"":""REFUND"",""needs_human"":true,""response"":""I'm sorry to hear that you're seeking assistance in obtaining refunds. I'm here to help you navigate the process and ensure that you receive the support you need. To better assist you, could you please provide me with more details about the specific refund you are looking to obtain? This will allow me to provide you with the most accurate guidance and ensure that your refund is processed efficiently. Thank you for reaching out, and I'm committed to working with you to resolve this matter.""}",wrong_intent;invalid_enum;wrong_needs_human,,,unsupported_action_completion
25940,cfd9a1cfac4eb2669f416336a9af2656b93e098849cafcf258e367388c8fd92d,is it possible to see if there are any updates on my refund,track_refund,REFUND,False,"{""intent"":""check_refund_policy"",""category"":""REFUND"",""needs_human"":false,""response"":""Yes, you can check the status of your refund. We'll notify you when there are updates. Please keep your account details handy.""}","{""intent"":""track_refund"",""category"":""REFUND"",""needs_human"":false,""response"":""I'm on the same page that you're looking to check if there are any updates on your refund. I understand how important it is to stay informed and ensure that your refund is processed correctly. To provide you with the most accurate information, could you please provide me with the {{Refund Number}} or {{Order Number}}? With this information, I'll be able to assist you further and track the status of your refund. Thank you for your cooperation, and I appreciate your patience as we work together to resolve this matter.""}",wrong_intent,,,unsupported_action_completion
18352,74abf08578df7f1411f60ca0266b17112da974bbf3bff5f0fb69839ad6c8057d,can ya help me solving issues with online payment,payment_issue,PAYMENT,True,"{
  ""intent"": ""PAYMENT"",
  ""category"": ""PAYMENT"",
  ""needs_human"": false,
  ""response"": ""I'm here to help. If you have any issues with your online payment, please provide more details so I can assist you better. What specifically is the problem? Are you receiving an error message, or is the payment not being processed as expected?""
}","{""intent"":""payment_issue"",""category"":""PAYMENT"",""needs_human"":true,""response"":""I'm sorry to hear that you're experiencing issues with online payment. I'm here to assist you in resolving the problem. To better understand the specific issue you're facing, could you please provide more details about the problem you encountered? This will help me provide you with the most appropriate solution. Thank you for reaching out to us, and I'm committed to helping you overcome this challenge.""}",wrong_intent;invalid_enum;wrong_needs_human,,unsupported_action_completion,
8567,f39fb1c113c26c2146e167e9be210eae49039abb51f72fba6167f43e45ae6447,wannma speak to customer service how can i do it,contact_customer_service,CONTACT,True,"{
  ""intent"": ""contact"",
  ""category"": ""CONTACT"",
  ""needs_human"": false,
  ""response"": ""You can contact Customer Service by calling us at 1-800-123-4567 or by sending an email to support@yourwebsite.com. You can also use our live chat feature on our website.""
}","{""intent"":""contact_customer_service"",""category"":""CONTACT"",""needs_human"":true,""response"":""Thank you for reaching out! I'm here to assist you in contacting our customer service team. To initiate the process, you can reach out to our dedicated customer support hotline at {{Customer Support Phone Number}}. Alternatively, you can visit our website and navigate to the \""Contact Us\"" page, where you will find the contact information and a live chat option to connect with our customer service representatives. If you have any other questions or need further assistance, please feel free to ask. We're here to help!""}",wrong_intent;invalid_enum;wrong_needs_human,,fabricated_contact_details,
8774,b273559c5c796cb4961cceec5fefc0e85870ef7ef9cc66978be6c1e6c61fa808,"I have to speak to customer assistance, how to do it?",contact_customer_service,CONTACT,True,"{""intent"":""contact"",""category"":""CONTACT"",""needs_human"":false,""response"":""Hello! To speak to customer assistance, you can call us at 1-800-123-4567 or send an email to support@website.com. You can also visit our website and click on the 'Contact Us' button to send a message. We're here to help!""}","{""intent"":""contact_customer_service"",""category"":""CONTACT"",""needs_human"":true,""response"":""Thank you for reaching out! I'm here to assist you in contacting our customer assistance team. To connect with them, you can reach out to our dedicated customer support hotline at {{Customer Support Phone Number}}. Alternatively, you can visit our website and navigate to the \""Contact Us\"" page, where you will find the contact information and a live chat option to speak with a representative. If you have any other questions or concerns, feel free to let me know. I'm here to help you every step of the way!""}",wrong_intent;invalid_enum;wrong_needs_human,,fabricated_contact_details,
26229,a59b851573817fa7905c09b77387a59b9c5e05afcd98a7a415cd5798dd3d89c0,can uhelp me see if there are any news on my refund,track_refund,REFUND,False,"{
  ""intent"": ""check_refund_policy"",
  ""category"": ""REFUND"",
  ""needs_human"": false,
  ""response"": ""I can help you check the status of your refund. Please provide your order number so I can look up the details.""
}","{""intent"":""track_refund"",""category"":""REFUND"",""needs_human"":false,""response"":""I'm on the same page that you are, and I understand your eagerness to stay updated on the progress of your refund. To provide you with the most accurate information, could you please provide me with the {{Refund Number}} or {{Order Number}}? With this information, I will be able to assist you in checking the status of your refund and provide you with any updates. Your patience is greatly appreciated, and I assure you that I will do my best to assist you.""}",wrong_intent,,,unsupported_guarantee
15607,7c078463f98cae4a08e475656803da471f47f54310832438050d8884423cb923,I don't know what I have to do to download bill #85632,get_invoice,INVOICE,False,"{
  ""intent"": ""check_invoice"",
  ""category"": ""INVOICE"",
  ""needs_human"": false,
  ""response"": ""To download the invoice for bill #85632, you need to log in to your account and navigate to the 'My Account' section. From there, select 'View Invoice' or 'Download Invoice' to get the details. If you're having trouble finding it, check the 'My Account' menu for more options.""
}","{""intent"":""check_invoice"",""category"":""INVOICE"",""needs_human"":false,""response"":""I'm on the same page that you are, feeling puzzled and unsure about the steps to download your bill with the number #{{Invoice Number}}. Don't worry, I'm here to guide you through the process. To download your bill, you can follow these simple steps: 1. Log in to your account on our website. 2. Navigate to the billing section or invoice tab. 3. Look for the specific bill with the number #{{Invoice Number}}. 4. Click on the download button or link associated with that bill. 5. Save the downloaded file to your device. If you encounter any difficulties or have further questions, please don't hesitate to let me know. I'm here to assist you every step of the way.""}",wrong_intent,wrong_intent,,
14743,82c66b5447b96ec90225c685816845b6203d7ab609bda2c2da41772ae6d07dc8,"I have got to edit my user, how could I do it?",edit_account,ACCOUNT,False,"{""intent"":""set_up_shipping_address"",""category"":""DELIVERY"",""needs_human"":false,""response"":""You can edit your user information by logging into your account and navigating to the 'Edit Profile' section. From there, you can update your shipping address, billing address, or any other details as needed. If you need further assistance, feel free to ask.""}","{""intent"":""edit_account"",""category"":""ACCOUNT"",""needs_human"":false,""response"":""I'm glad you contacted us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to us to",wrong_intent;wrong_category;intent_category_mismatch,wrong_intent;wrong_category;invalid_json;wrong_needs_human;generation_truncated,,
14927,4b675370ecf1a2ed7a057095905e10060deff1bdd4bd959b7d4203f2005dbee6,where can i get the invoice #12588,get_invoice,INVOICE,False,"{
  ""intent"": ""check_invoice"",
  ""category"": ""INVOICE"",
  ""needs_human"": false,
  ""response"": ""You can find the invoice #12588 on your account dashboard. Click on 'My Account' and then 'View Invoices'.""
}","{""intent"":""check_invoice"",""category"":""INVOICE"",""needs_human"":false,""response"":""I'm on it! I'm here to assist you in locating the invoice with the number #{{Invoice Number}}. To provide you with the most accurate information, could you please provide me with the date range or any other relevant details? This will help me narrow down the search and locate the invoice you're looking for. Thank you for your cooperation, and I appreciate your patience while I gather the necessary information.""}",wrong_intent,wrong_intent,,
19126,8511c817b8d609f98e265b6feeacc1bf5cafd897fe04170cbe325db802a2a0eb,how do I earn several of your article?,place_order,ORDER,False,"{
  ""intent"": ""registration_problems"",
  ""category"": ""INFORMATION"",
  ""needs_human"": false,
  ""response"": ""We're sorry, but we don't have any articles available for you to earn. Please check back later or visit our website for more information.""
}","{""intent"":""get_refund"",""category"":""REFUND"",""needs_human"":true,""response"":""I'm sorry to hear that you're looking to earn several of our articles. I understand that you may be seeking additional ways to access our content. To assist you in this process, could you please provide me with the specific articles you would like to earn? Once I have this information, I will be able to guide you on the best way to obtain them. Rest assured, I'm here to help you every step of the way.""}",wrong_intent;wrong_category;invalid_enum,wrong_intent;wrong_category;wrong_needs_human,,unnecessary_escalation
