placeholder,intent,occurrence_count,row_count,total_placeholder_occurrences,percentage_within_placeholder
{{Order Number}},cancel_order,2830,980,8029,35.247229
{{Order Number}},track_order,2091,981,8029,26.043094
{{Order Number}},change_order,2010,983,8029,25.034251
{{Order Number}},delivery_period,915,915,8029,11.396189
{{Order Number}},check_refund_policy,175,175,8029,2.179599
{{Order Number}},track_refund,6,6,8029,0.074729
{{Order Number}},check_invoice,1,1,8029,0.012455
{{Order Number}},contact_human_agent,1,1,8029,0.012455
{{Account Type}},switch_account,2559,703,5440,47.040441
{{Account Type}},delete_account,1103,411,5440,20.275735
{{Account Type}},create_account,1070,414,5440,19.669118
{{Account Type}},edit_account,708,264,5440,13.014706
{{Account Category}},switch_account,1836,425,3900,47.076923
{{Account Category}},create_account,793,319,3900,20.333333
{{Account Category}},delete_account,683,276,3900,17.512821
{{Account Category}},edit_account,588,228,3900,15.076923
{{Online Order Interaction}},cancel_order,2541,857,2699,94.14598
{{Online Order Interaction}},track_order,158,157,2699,5.85402
{{Customer Support Phone Number}},cancel_order,932,931,2635,35.370019
{{Customer Support Phone Number}},contact_customer_service,374,374,2635,14.193548
{{Customer Support Phone Number}},payment_issue,149,149,2635,5.654649
{{Customer Support Phone Number}},get_refund,131,131,2635,4.971537
{{Customer Support Phone Number}},recover_password,117,117,2635,4.440228
{{Customer Support Phone Number}},complaint,103,103,2635,3.908918
{{Customer Support Phone Number}},contact_human_agent,95,95,2635,3.605313
{{Customer Support Phone Number}},delete_account,84,84,2635,3.187856
{{Customer Support Phone Number}},check_invoice,68,67,2635,2.580645
{{Customer Support Phone Number}},registration_problems,63,63,2635,2.390892
{{Customer Support Phone Number}},delivery_options,60,60,2635,2.27704
{{Customer Support Phone Number}},change_order,54,54,2635,2.049336
{{Customer Support Phone Number}},edit_account,54,54,2635,2.049336
{{Customer Support Phone Number}},set_up_shipping_address,51,51,2635,1.935484
{{Customer Support Phone Number}},check_refund_policy,50,50,2635,1.897533
{{Customer Support Phone Number}},track_refund,50,50,2635,1.897533
{{Customer Support Phone Number}},create_account,40,40,2635,1.518027
{{Customer Support Phone Number}},place_order,38,38,2635,1.442125
{{Customer Support Phone Number}},check_payment_methods,37,37,2635,1.404175
{{Customer Support Phone Number}},track_order,23,23,2635,0.872865
{{Customer Support Phone Number}},delivery_period,21,21,2635,0.796964
{{Customer Support Phone Number}},get_invoice,19,19,2635,0.721063
{{Customer Support Phone Number}},switch_account,11,11,2635,0.417457
{{Customer Support Phone Number}},newsletter_subscription,6,6,2635,0.227704
{{Customer Support Phone Number}},review,5,5,2635,0.189753
{{Website URL}},cancel_order,925,922,2534,36.503552
{{Website URL}},contact_customer_service,351,351,2534,13.851618
{{Website URL}},get_refund,121,121,2534,4.775059
{{Website URL}},payment_issue,121,121,2534,4.775059
{{Website URL}},recover_password,108,106,2534,4.262036
{{Website URL}},complaint,79,79,2534,3.117601
{{Website URL}},delete_account,73,73,2534,2.880821
{{Website URL}},contact_human_agent,71,71,2534,2.801894
{{Website URL}},delivery_options,70,69,2534,2.762431
{{Website URL}},check_refund_policy,65,64,2534,2.565114
