source_index,instruction,ground_truth_intent,predicted_intent,ground_truth_category,predicted_category,ground_truth_needs_human,predicted_needs_human,json_valid,schema_compliant,generation_truncated,error_tags,raw_model_output
22308,i need help to leave some feedback about ur services,review,feedback,FEEDBACK,FEEDBACK,False,False,True,False,False,wrong_intent;invalid_enum,"{
  ""intent"": ""feedback"",
  ""category"": ""FEEDBACK"",
  ""needs_human"": false,
  ""response"": ""We'd love to hear your feedback! Please provide a brief comment or suggestion. This will help us improve our services. Thank you for your input.""
}"
13409,can you help me to see how soon can I expect the delivery?,delivery_period,TRACK,DELIVERY,DELIVERY,False,False,True,False,False,wrong_intent;invalid_enum,"{
  ""intent"": ""TRACK"",
  ""category"": ""DELIVERY"",
  ""needs_human"": false,
  ""response"": ""We can provide you with the expected delivery date. Please check your order status for more details.""
}"
14827,change info on {{Account Type}} account,edit_account,CHANGE,ACCOUNT,ACCOUNT,False,False,True,False,False,wrong_intent;invalid_enum,"{
  ""intent"": ""CHANGE"",
  ""category"": ""ACCOUNT"",
  ""needs_human"": false,
  ""response"": ""We'll update your account information as soon as possible. Please provide your new details.""
}"
22170,how to send some feedback for a service?,review,FEEDBACK,FEEDBACK,FEEDBACK,False,False,True,False,False,wrong_intent;invalid_enum,"{
  ""intent"": ""FEEDBACK"",
  ""category"": ""FEEDBACK"",
  ""needs_human"": false,
  ""response"": ""To provide feedback for our service, you can send us your thoughts and suggestions. Please use the 'Contact' option in our system to share your feedback. We value your input and strive to improve our services. If you have any questions or need further assistance, feel free to contact us.""
}"
2704,wanna knowabout updating the address,change_shipping_address,set_up_shipping_address,SHIPPING,SHIPPING,False,False,True,True,False,wrong_intent,"{
  ""intent"": ""set_up_shipping_address"",
  ""category"": ""SHIPPING"",
  ""needs_human"": false,
  ""response"": ""To update your shipping address, please follow these steps:\n1. Log in to your account.\n2. Go to the 'My Account' section.\n3. Click on 'Edit Account'.\n4. Scroll down to 'Shipping Address' and enter your new address details.\n5. Save your changes.\n\nIf you need further assistance, feel free to ask.""
}"
26552,i want help checking if there are any news on my restitution,track_refund,check_refund_policy,REFUND,REFUND,False,False,True,True,False,wrong_intent,"{
  ""intent"": ""check_refund_policy"",
  ""category"": ""REFUND"",
  ""needs_human"": false,
  ""response"": ""I'm sorry to hear that you're experiencing issues with your refund. To help you, I'll need more information. Could you please provide your order number and the date of the transaction? This will help me check the status of your refund.""
}"
16617,assistance to obtain a restitution of my money,get_refund,refund,REFUND,REFUND,True,False,True,False,False,wrong_intent;invalid_enum;wrong_needs_human,"{
  ""intent"": ""refund"",
  ""category"": ""REFUND"",
  ""needs_human"": false,
  ""response"": ""We are here to assist you. To proceed with obtaining a refund, please provide your order number. Once we have your order number, we can help you initiate the refund process. If you have any other questions or need further assistance, feel free to ask.""
}"
23770,want help to enter a new delivery address,set_up_shipping_address,set_up_shipping_address,SHIPPING,DELIVERY,False,False,True,False,False,wrong_category;intent_category_mismatch,"{
  ""intent"": ""set_up_shipping_address"",
  ""category"": ""DELIVERY"",
  ""needs_human"": false,
  ""response"": ""To set up your new shipping address, please follow these steps:\n1. Go to your account settings.\n2. Click on the 'Edit' option for your shipping address.\n3. Enter your new address details.\n4. Save the changes.\n\nIf you need further assistance, feel free to ask.""
}"
21843,i need help to report problems with registrations,registration_problems,registration_problems,ACCOUNT,REGISTRATION,False,False,True,False,False,wrong_category;invalid_enum,"{
  ""intent"": ""registration_problems"",
  ""category"": ""REGISTRATION"",
  ""needs_human"": false,
  ""response"": ""We're here to help. If you have any issues with your registration, please provide more details so we can assist you better. This includes any problems you're experiencing, such as account issues, payment issues, or other concerns. We'll do our best to resolve your registration problems.""
}"
24808,how to use the platinum profile?,switch_account,,ACCOUNT,,False,,False,False,False,wrong_intent;wrong_category;invalid_json;wrong_needs_human,"{
  ""intent"": ""SET_UP_SHIPPING_ADDRESS"",
  ""category"": ""SHIPPING"",
  ""needs_human"": false,
  ""response"": ""To use the Platinum profile, you need to set up your shipping address. Here’s how you can do it:

1. Log in to your account.
2. Go to the 'My Account' section.
3. Click on 'Edit Profile'.
4. Under 'Shipping Address', enter your address details.
5. Save the changes.

Once your shipping address is set up, you can use the Platinum profile for faster delivery times and better service. If you need further assistance, feel free to ask.""
}"
