split,instruction,intent,category,needs_human,response
train,change to {{Account Category}} account,switch_account,ACCOUNT,False,"Thank you for expressing your interest in switching to our {{Account Category}} account! Let me guide you through the process to make this transition as smooth as possible: 1. First, log in to your account on our platform. 2. Once you're signed in, navigate to your account settings or profile section. 3. Look for an option labeled ""Account Type"" or ""Upgrade Account."" 4. Select the option that corresponds to our {{Account Category}} account. 5. Follow the on-screen prompts and complete any additional steps required to finalize the switch. If you encounter any difficulties along the way or have any other questions, please don't hesitate to reach out to our support team. We're here to assist you and ensure a seamless transition to the {{Account Category}} account. Enjoy the enhanced benefits that come with it!"
train,need help to set up my delivery address,set_up_shipping_address,SHIPPING,False,"I grasp that you need assistance in setting up your delivery address. To ensure a smooth process, please follow these steps: 1. Log in to your account. 2. Navigate to the settings or profile section, where you can manage your delivery address. 3. Look for the option to add a new address or edit your existing address. 4. Click on that option and enter the details of your delivery address, including street, city, state, and zip code. 5. Save the changes to update your delivery address in our system. If you encounter any issues or have further questions, don't hesitate to let me know. I'm here to help and guide you throughout the process."
train,"I need to talk with customer support, how todo it?",contact_customer_service,CONTACT,True,"We appreciate your message! It's clear to me that you need assistance with contacting our customer support team. To connect with them, you can reach out through our dedicated phone line at {{Customer Support Phone Number}} or use the Live Chat feature available on our website at {{Website URL}}. Our team is available during {{Customer Support Hours}} to assist you with any questions or concerns you may have. Please don't hesitate to reach out if there's anything else I can help you with."
train,I need help closing a platinum account,delete_account,ACCOUNT,True,"Thank you for your message to us about closing your {{Account Category}} account. We understand that account closures can be a sensitive and important process, and we want to ensure that everything goes smoothly for you. To proceed with closing your {{Account Category}} account, please provide us with the following details: your account number or any other identification information associated with your account. Once we have this information, our team will assist you with the necessary steps to close your account. We value your trust and want to ensure that your experience with us remains positive, even when closing an account."
train,need to see in what cases can i request to be reimbursed,check_refund_policy,REFUND,False,"I'm fully aware of your request to see the situations in which you can request to be reimbursed. Here is a breakdown of some common scenarios: 1. **Product/Service Defect:** If the product or service you received is defective or doesn't match the description, you would generally be eligible for a reimbursement. 2. **Cancellation within Grace Period:** If you decide to cancel your purchase within the specified grace period, you should be able to request a reimbursement. 3. **Unauthorized Charges:** If you notice any charges on your account that you didn't authorize, we will investigate and help you obtain a reimbursement. 4. **Event Cancellation:** If you purchased tickets for an event that gets canceled and there is no rescheduled date, you might be eligible for a reimbursement. 5. **Duplicate Charges:** If you encounter duplicate charges for the same item, please inform us so that we can rectify the situation and ensure you receive a reimbursement. 6. **Non-receipt of Goods/Services:** If you haven't received the product or service within the expected timeframe, you may qualify for a reimbursement. Please note that this is a general overview, and refund policies can vary depending on individual vendors or service providers. I recommend reviewing the specific terms and conditions or reaching out directly to the vendor for more detailed information. If you have any specific concern or need assistance with a particular order, please provide me with the necessary details such as the order number, and I'll be happy to help you navigate the reimbursement process."
validation,I need help submitting a new delivery address,set_up_shipping_address,SHIPPING,False,"I fully comprehend the significance of submitting a new delivery address, and I'm here to extend my expertise and guidance to ensure a smooth process. To successfully submit a new delivery address, please follow these steps: 1. Sign in to your account using your credentials. 2. Go to the 'Account' or 'Profile' section of our platform. 3. Look for the 'Shipping Addresses' or similar option. 4. Find the option to add a new address or edit existing addresses. 5. Carefully fill in the required details of your new delivery address, including your name, complete address, contact number, and any other necessary information. 6. Double-check all the provided information to ensure its accuracy. 7. Save the changes and confirm that your new delivery address has been successfully submitted. If you encounter any difficulties or have specific questions during the process, please don't hesitate to reach out. Our dedicated support team is available {{Customer Support Hours}} at {{Customer Support Phone Number}} or through the Live Chat on our website at {{Website URL}}. We are committed to making this experience as seamless as possible for you."
validation,where can I receive the corporate newsletter?,newsletter_subscription,SUBSCRIPTION,False,"I appreciate your interest in receiving our corporate newsletter! To make sure you receive it promptly, we offer multiple channels for newsletter delivery. You can receive the newsletter directly in your email inbox by subscribing with your email address on our website."
validation,wanna unsubscribe from ur corporate newsletter how to do it,newsletter_subscription,SUBSCRIPTION,False,"I appreciate your interest in unsubscribing from our corporate newsletter. I'll be happy to guide you through the process. To assist you more effectively, could you please provide me with the email address you used to subscribe to our newsletter? Once I have that information, I'll promptly initiate the unsubscription process for you. Rest assured, we value your privacy and will handle your request with the utmost care."
validation,do you edliver to {{Delivery Country}}?,delivery_options,DELIVERY,False,"Ah, the enchanting United States! We are honored to serve customers like you who reside in the {{Delivery Country}}. Rest assured, we offer delivery services to {{Delivery Country}} addresses, ensuring your desired items reach you with utmost care and efficiency."
validation,can ya help me update my delivery address,change_shipping_address,SHIPPING,False,"Of course, we're here to assist you with updating your delivery address. Please provide us with the new address details, and we'll make sure to update it for you promptly."
