ground_truth_intent,predicted_intent,count
cancel_order,cancel_order,11
change_order,change_order,12
change_shipping_address,change_shipping_address,12
check_cancellation_fee,check_cancellation_fee,11
check_invoice,check_invoice,10
check_invoice,get_invoice,1
check_payment_methods,check_payment_methods,11
check_refund_policy,check_refund_policy,6
check_refund_policy,get_refund,4
check_refund_policy,track_refund,1
complaint,complaint,11
contact_customer_service,contact_customer_service,11
contact_human_agent,contact_customer_service,1
contact_human_agent,contact_human_agent,10
create_account,create_account,11
delete_account,delete_account,11
delivery_options,delivery_options,11
delivery_period,delivery_period,12
edit_account,edit_account,11
get_invoice,check_invoice,3
get_invoice,get_invoice,8
get_refund,get_refund,11
newsletter_subscription,newsletter_subscription,11
payment_issue,payment_issue,11
place_order,place_order,11
recover_password,recover_password,11
registration_problems,create_account,1
registration_problems,registration_problems,10
review,contact_customer_service,1
review,contact_human_agent,1
review,review,9
set_up_shipping_address,change_shipping_address,6
set_up_shipping_address,set_up_shipping_address,5
switch_account,contact_human_agent,1
switch_account,create_account,1
switch_account,switch_account,9
track_order,track_order,11
track_refund,check_cancellation_fee,2
track_refund,check_refund_policy,1
track_refund,track_refund,8
