review_order,review_priority,selection_reasons,source_id,dev_row_id,stable_group_id,instruction,ground_truth_intent,ground_truth_needs_human,lora_intent,lora_needs_human,lora_response,heuristic_risk_flags,lora_error_tags,review_relevance,review_fabrication,review_unsupported_action,review_sensitive_data,review_unnecessary_escalation,review_overall,review_note
1,1,risk:asks_for_sensitive_secret;risk:unnecessary_escalation,20031,dev_186,47fd750460c769990b09f176328de2f038d25dbfceee8254a460214281ce7cc7,where do I retrieve my user password?,recover_password,False,recover_password,False,"I'm on it! I'm here to assist you in retrieving your user password. To do so, please follow these steps: 1. Visit our website and navigate to the ""{{Login Page URL}}"". 2. Look for the ""{{Forgot Password}}"" or ""{{Password Recovery}}"" option on the page. 3. Click on the ""{{Forgot Password}}"" or ""{{Password Recovery}}"" option. 4. You will be prompted to provide some additional information, such as your email address or username. 5. Enter the correct email address or username associated with your account. 6. Click on the ""{{Submit}}"" or ""{{Send}}"" button to initiate the password recovery process. 7. You will receive an email with instructions on how to reset your password. Please check your inbox and spam folder if you don't see the email within a few minutes. If you encounter any difficulties or have further questions, please don't hesitate to reach out to our dedicated support team. We're here to help you every step of the way!",asks_for_sensitive_secret;unnecessary_escalation,,,,,,,,
2,2,risk:fabricated_contact_details;risk:unnecessary_escalation,1363,dev_100,1db89daa12cb494531d458c5e5bef5508165efb04f83cf4dd23ff2732c78096f,help swapping an article of purchase113542617735902,change_order,False,change_order,False,"I'm on the same page that you need assistance with swapping an article in purchase number 113542617735902. I apologize for any inconvenience this may have caused. To swap an article, you can reach out to our customer support team either through our website or by calling our dedicated helpline. They will guide you through the process and ensure that your article is swapped as quickly as possible. We appreciate your patience and cooperation in resolving this matter.",fabricated_contact_details;unnecessary_escalation,,,,,,,,
3,3,risk:fabricated_fees_or_timelines,12591,dev_176,dac237ce2623217ece5b08f40e934b6782d63656b08c3f0fc290f20a0fa020fe,I need to check what shipment options I can choose,delivery_options,False,delivery_options,False,"We're here to assist you in exploring our shipment options! We offer a variety of shipping methods to ensure your delivery meets your expectations. Here are the options available to you: 1. Standard Shipping: This option typically takes 5-7 business days to deliver your package. 2. Expedited Shipping: If you need your package faster, we offer this option, which usually arrives within 2-3 business days. 3. Overnight Shipping: For urgent deliveries, we provide this option, which ensures your package will arrive the next business day. 4. In-Store Pickup: If you prefer to pick up your package in-store, we offer this option, allowing you to collect your items directly from our location. Please note that the specific shipping costs may vary depending on the destination and the chosen option. If you have any further questions or need assistance with a specific shipment, feel free to let me know. I'm here to help you make the best decision for your delivery needs.",fabricated_fees_or_timelines,,,,,,,,
4,3,risk:fabricated_fees_or_timelines,12762,dev_125,c8b85ab8b4fbc47f00101afc421e0e0f7e8a396949ebefc47649f106adb01005,"I need to see what delivery methods you offer, help me",delivery_options,False,delivery_options,False,"We're here to assist you in exploring our delivery methods! We offer a variety of options to ensure your convenience and satisfaction. Here are the delivery methods we provide: 1. Standard Shipping: This method typically takes 3-5 business days to deliver your items. 2. Expedited Shipping: If you need your items faster, we offer this option, which usually takes 1-2 business days. 3. Overnight Shipping: For urgent deliveries, we provide this option, which ensures your items arrive the next business day. 4. In-Store Pickup: If you prefer to pick up your items in-store, we offer this option, allowing you to collect your items directly from our store. 5. Home Delivery: We also offer home delivery services, ensuring your items are delivered to your doorstep. If you have any specific questions or need further assistance, please feel free to let me know. I'm here to help you find the perfect delivery method that suits your needs.",fabricated_fees_or_timelines,,,,,,,,
5,4,risk:unsupported_action_completion,362,dev_183,0e2d957d2856d8a680e747413403d4907d36eed51f046d4be119b004b579f828,I need assistance cancelling purcjase {{Order Number}},cancel_order,False,cancel_order,False,"I'm sorry to hear that you need assistance with canceling your purchase with the order number {{Order Number}}. I understand how frustrating it can be to encounter difficulties during the cancellation process. To better assist you, could you please provide more details about the specific issues you are facing? This will help me identify the best course of action and ensure that your purchase is cancelled as smoothly as possible. Thank you for your cooperation and patience.",unsupported_action_completion,,,,,,,,
6,4,risk:unsupported_action_completion;risk:unnecessary_escalation;manual_qa_seed_42,686,dev_031,0791cf74e4aba1fed96138c17fcd6152d663aec38329546d49f88da013225971,"I bought some items, cancel order {{Order Number}}",cancel_order,False,cancel_order,False,"I'm sorry to hear that you're considering canceling order {{Order Number}}. I understand that you may have had some issues with the purchase, and I'm here to assist you in resolving this matter. To cancel your order, you can reach out to our customer support team either through our website or by calling our helpline. They will guide you through the cancellation process and ensure that your order is properly canceled. Please let me know if there's anything else I can do to help you with this situation.",unsupported_action_completion;unnecessary_escalation,,,,,,,,
7,4,risk:unsupported_action_completion;risk:unnecessary_escalation;escalation_false_positive,6087,dev_229,83b400ebba6707dda0061f9fed5ab2b7a3e5a5941f745c8f06def6335cae6eb5,help me see in what cases can I reuest my money back,check_refund_policy,False,get_refund,True,"I'm here to assist you in understanding the various cases in which you can request your money back. It's important to know the specific circumstances that qualify for a refund to ensure you receive the support you need. Here are some common scenarios where you can request your money back: 1. **Product/Service Defect:** If you receive a product or service that is defective or does not meet the expected quality standards, you can typically request a refund. 2. **Cancellation within Grace Period:** If you decide to cancel your purchase within the grace period specified by the seller, you may be eligible for a refund. 3. **Unauthorized Charges:** If you notice any charges on your account that you did not authorize or recognize, you can request a refund for those charges. 4. **Duplicate Charges:** If you receive duplicate charges for the same item or service, you can request a refund for the duplicate charges. 5. **Non-receipt of Goods:** If you have not received the goods or services within the expected delivery time, you can request a refund. 6. **Event Cancellation:** If you have purchased tickets for an event that gets canceled, you may be eligible for a refund. 7. **Event Cancellation within Grace Period:** If you cancel your purchase within the grace period for the event, you may be eligible for a refund. 8. **Event Cancellation within Event Duration:** If you cancel your purchase within the duration of the event, you may be eligible for a refund. 9. **Event Cancellation within Event Duration and Event Cancellation:** If you cancel your purchase within the duration of the event and within the grace period, you may be eligible for a refund. 10. **Event Cancellation within Event Duration and Event Cancellation within Grace Period:** If you cancel your purchase within the duration of the event, within the grace period, and within the event cancellation window, you may be eligible for a refund. It's essential to review the terms and conditions of your purchase or subscription agreement to understand the specific requirements and limitations. If you have any specific concerns or questions regarding a particular case, please provide more details, and I'll be happy to assist you further. Remember, I'm here to help you every step of the way.",unsupported_action_completion;unnecessary_escalation,wrong_intent;wrong_needs_human,,,,,,,
8,4,risk:unsupported_action_completion,6252,dev_006,6a5961d5c85467392756bd6f1e32105128eea64218343625536811d2da6f2c0d,"I have to see how long refunds take, I need help",check_refund_policy,False,track_refund,False,"I'm on it! I'm here to assist you in checking the estimated time it takes for refunds to be processed. To provide you with the most accurate information, could you please provide me with the {{Refund Number}} or {{Order Number}}? With this information, I'll be able to give you an update on the refund process and the estimated time it will take. Your patience is greatly appreciated!",unsupported_action_completion,wrong_intent,,,,,,,
9,4,risk:unsupported_action_completion;risk:unnecessary_escalation;escalation_false_positive;manual_qa_seed_42,6268,dev_013,0b24582e99d78cdf30f38dd42a4a4942ee34d06b2e2909bbc56c6ef32de09fb9,hlp seeing ur money back guarantee,check_refund_policy,False,get_refund,True,"I'm sorry to hear that you're experiencing difficulties in seeing your money back. Our company is committed to ensuring a smooth refund process for our customers. To better assist you, could you please provide more details about the specific issue you're facing? This will help us identify the best course of action and ensure that your money is refunded as quickly as possible. Thank you for your cooperation and patience.",unsupported_action_completion;unnecessary_escalation,wrong_intent;wrong_needs_human,,,,,,,
10,4,risk:unsupported_action_completion,10851,dev_030,f4e44f79a76749c7213d828c21e57d89668583f20a52a7cfca569fa573f88466,where do I create a gold account?,create_account,False,create_account,False,"I'm happy to help! To create a {{Account Category}} account, you can visit our website and navigate to the account registration page. From there, you will need to provide some basic information such as your full name, email address, and a username. Once you have completed the registration process, you will be able to access all the features and benefits of our {{Account Category}} account.",unsupported_action_completion,,,,,,,,
