source_index,instruction,ground_truth_intent,predicted_intent,ground_truth_category,predicted_category,ground_truth_needs_human,predicted_needs_human,json_valid,schema_compliant,generation_truncated,error_tags,raw_model_output
23694,I need to enter a shipping address,set_up_shipping_address,change_shipping_address,SHIPPING,SHIPPING,False,False,True,True,False,wrong_intent,"{""intent"":""change_shipping_address"",""category"":""SHIPPING"",""needs_human"":false,""response"":""I'm glad you contacted us to let us know that you need to enter a shipping address. We understand that it can be frustrating to have to update your address, but we're here to help you with that. To enter your shipping address, please follow these steps: 1. Log in to your account on our website. 2. Navigate to the \""My Account\"" or \""Profile\"" section. 3. Look for the \""Shipping Addresses\"" or \""Addresses\"" option. 4. Click on it to view or edit your existing shipping addresses. 5. If you don't see your current address, click on the \""Add Address\"" button. 6. Fill in the required fields with the correct information, such as your name, street address, city, state, and ZIP code. 7. Double-check the information to ensure accuracy. 8. Save the changes. If you encounter any difficulties or have further questions, please don't hesitate to reach out to our customer support team. We're here to assist you every step of the way.""}"
15352,i have got to get bill #37777 how to do it,get_invoice,check_invoice,INVOICE,INVOICE,False,False,True,True,False,wrong_intent,"{""intent"":""check_invoice"",""category"":""INVOICE"",""needs_human"":false,""response"":""I'm on it! I'm here to assist you in retrieving the bill with the number #{{Invoice Number}}. To get started, could you please provide me with your account details such as your username or email address? With that information, I'll be able to locate the bill for you. Rest assured, I'm committed to ensuring your satisfaction and resolving any issues you may encounter.""}"
487,need help cancelling purchase {{Order Number}},cancel_order,cancel_order,ORDER,ORDER,False,True,True,True,False,wrong_needs_human,"{""intent"":""cancel_order"",""category"":""ORDER"",""needs_human"":true,""response"":""I'm sorry to hear that you need assistance with canceling your purchase with the purchase number {{Order Number}}. I understand how frustrating it can be when you encounter difficulties during the cancellation process. To better assist you, could you please provide more details about the specific issues you're facing? This will help me identify the best course of action and ensure that your purchase is cancelled as smoothly as possible. Thank you for your cooperation, and I appreciate your patience as we work together to resolve this matter.""}"
23218,I need to enter another shipping address,set_up_shipping_address,change_shipping_address,SHIPPING,SHIPPING,False,False,True,True,False,wrong_intent,"{""intent"":""change_shipping_address"",""category"":""SHIPPING"",""needs_human"":false,""response"":""I'm glad you contacted us to let us know that you need to enter another shipping address. We understand that sometimes shipping addresses can change, and we're here to assist you with the process. To update your shipping address, please follow these steps: 1. Log in to your account on our website. 2. Navigate to the \""My Account\"" or \""Profile\"" section. 3. Look for the \""Shipping Addresses\"" or \""Addresses\"" option. 4. Click on it to view or edit your current shipping addresses. 5. Locate the address you want to update and click on the \""Edit\"" or \""Change\"" button. 6. Fill in the updated address details in the provided fields. 7. Save the changes by clicking on the \""Save\"" or \""Update\"" button. If you encounter any difficulties or have further questions, please don't hesitate to reach out to our customer support team. We're here to ensure a smooth and seamless experience for you.""}"
2948,"the damn address changed, I would like to edit it",change_shipping_address,edit_account,SHIPPING,ACCOUNT,False,False,True,True,False,wrong_intent;wrong_category,"{""intent"":""edit_account"",""category"":""ACCOUNT"",""needs_human"":false,""response"":""I'm sorry to hear that your address has changed and you would like to edit it. I understand how frustrating it can be to have your address updated and not be able to make the necessary changes. To assist you with editing your address, could you please provide me with the updated address? Once I have the updated information, I will make sure to update your address in our system promptly.""}"
10415,opdn {{Account Category}} account,create_account,edit_account,ACCOUNT,ACCOUNT,False,False,True,True,False,wrong_intent,"{""intent"":""edit_account"",""category"":""ACCOUNT"",""needs_human"":false,""response"":""I'm happy to help! I'm here to guide you through the process of editing your {{Account Category}} account. To get started, could you please provide me with the specific details you would like to modify? This will allow me to assist you effectively and ensure that your account meets your needs.""}"
9917,opdn {{Account Category}} account,create_account,edit_account,ACCOUNT,ACCOUNT,False,False,True,True,False,wrong_intent,"{""intent"":""edit_account"",""category"":""ACCOUNT"",""needs_human"":false,""response"":""I'm happy to help! I'm here to guide you through the process of editing your {{Account Category}} account. To get started, could you please provide me with the specific details you would like to modify? This will allow me to assist you effectively and ensure that your account meets your needs.""}"
19126,how do I earn several of your article?,place_order,get_refund,ORDER,REFUND,False,True,True,True,False,wrong_intent;wrong_category;wrong_needs_human,"{""intent"":""get_refund"",""category"":""REFUND"",""needs_human"":true,""response"":""I'm sorry to hear that you're looking to earn several of our articles. I understand that you may be seeking additional ways to access our content. To assist you in this process, could you please provide me with the specific articles you would like to earn? Once I have this information, I will be able to guide you on the best way to obtain them. Rest assured, I'm here to help you every step of the way.""}"
6735,want help seeing in which situations can i requestrefunds,check_refund_policy,get_refund_policy,REFUND,REFUND,False,False,True,False,False,wrong_intent;invalid_enum,"{""intent"":""get_refund_policy"",""category"":""REFUND"",""needs_human"":false,""response"":""We understand that you're looking for guidance on the situations in which you can request refunds. To better assist you, could you please provide more details about the specific product or service you purchased? This will help us provide you with more accurate information on the refund policy and the situations in which you can request a refund. We appreciate your cooperation in this matter and look forward to assisting you further.""}"
1028,I mised a product in purchase {{Order Number}},change_order,cancel_order,ORDER,ORDER,False,False,True,True,False,wrong_intent,"{""intent"":""cancel_order"",""category"":""ORDER"",""needs_human"":false,""response"":""I'm sorry to hear that you missed a product in purchase number {{Order Number}}. I understand how frustrating it can be when you forget something important. To assist you with this, could you please provide me with the details of the product you were looking for? This will help me locate the missing item and ensure that you receive the correct order. Thank you for bringing this to our attention, and I apologize for any inconvenience caused.""}"
