flags,count,percentage,intent,intent_count,percentage_within_flag
BL,5212,19.395653,check_refund_policy,338,6.485035
BL,5212,19.395653,contact_customer_service,291,5.583269
BL,5212,19.395653,complaint,284,5.448964
BL,5212,19.395653,newsletter_subscription,283,5.429777
BL,5212,19.395653,set_up_shipping_address,274,5.257099
BL,5212,19.395653,change_shipping_address,272,5.218726
BL,5212,19.395653,check_payment_methods,268,5.14198
BL,5212,19.395653,contact_human_agent,266,5.103607
BL,5212,19.395653,delivery_period,260,4.988488
BL,5212,19.395653,recover_password,245,4.700691
BL,5212,19.395653,delete_account,224,4.297774
BL,5212,19.395653,track_refund,204,3.914045
BL,5212,19.395653,cancel_order,202,3.875672
BL,5212,19.395653,change_order,197,3.779739
BL,5212,19.395653,switch_account,184,3.530315
BL,5212,19.395653,track_order,180,3.453569
BL,5212,19.395653,review,167,3.204144
BL,5212,19.395653,check_invoice,157,3.012279
BL,5212,19.395653,get_invoice,148,2.839601
BL,5212,19.395653,create_account,135,2.590177
BL,5212,19.395653,check_cancellation_fee,122,2.340752
BL,5212,19.395653,get_refund,120,2.302379
BL,5212,19.395653,registration_problems,109,2.091328
BL,5212,19.395653,payment_issue,80,1.534919
BL,5212,19.395653,edit_account,76,1.458173
BL,5212,19.395653,delivery_options,66,1.266309
BL,5212,19.395653,place_order,60,1.15119
BLQ,2467,9.18056,check_refund_policy,167,6.769355
BLQ,2467,9.18056,review,158,6.40454
BLQ,2467,9.18056,recover_password,149,6.039724
BLQ,2467,9.18056,complaint,148,5.999189
BLQ,2467,9.18056,check_payment_methods,140,5.674909
BLQ,2467,9.18056,contact_human_agent,132,5.350628
BLQ,2467,9.18056,track_refund,129,5.229023
BLQ,2467,9.18056,newsletter_subscription,122,4.945278
BLQ,2467,9.18056,delivery_period,116,4.702067
BLQ,2467,9.18056,contact_customer_service,111,4.499392
BLQ,2467,9.18056,track_order,102,4.134576
BLQ,2467,9.18056,change_shipping_address,96,3.891366
BLQ,2467,9.18056,delete_account,96,3.891366
BLQ,2467,9.18056,set_up_shipping_address,89,3.607621
BLQ,2467,9.18056,check_invoice,82,3.323875
BLQ,2467,9.18056,create_account,75,3.04013
BLQ,2467,9.18056,get_refund,73,2.95906
BLQ,2467,9.18056,get_invoice,71,2.877989
BLQ,2467,9.18056,cancel_order,70,2.837454
BLQ,2467,9.18056,change_order,63,2.553709
BLQ,2467,9.18056,registration_problems,54,2.188893
BLQ,2467,9.18056,check_cancellation_fee,52,2.107823
BLQ,2467,9.18056,switch_account,49,1.986218
BLQ,2467,9.18056,payment_issue,40,1.621403
BLQ,2467,9.18056,edit_account,37,1.499797
BLQ,2467,9.18056,place_order,28,1.134982
BLQ,2467,9.18056,delivery_options,18,0.729631
BIL,2138,7.956237,delivery_period,148,6.922357
BIL,2138,7.956237,review,148,6.922357
BIL,2138,7.956237,contact_customer_service,146,6.828812
BIL,2138,7.956237,check_payment_methods,132,6.173994
BIL,2138,7.956237,complaint,127,5.940131
BIL,2138,7.956237,newsletter_subscription,124,5.799813
BIL,2138,7.956237,recover_password,104,4.864359
BIL,2138,7.956237,switch_account,102,4.770814
BIL,2138,7.956237,contact_human_agent,101,4.724041
BIL,2138,7.956237,track_order,91,4.256314
BIL,2138,7.956237,check_invoice,74,3.461179
BIL,2138,7.956237,change_shipping_address,73,3.414406
BIL,2138,7.956237,check_cancellation_fee,70,3.274088
BIL,2138,7.956237,get_refund,70,3.274088
BIL,2138,7.956237,track_refund,69,3.227315
BIL,2138,7.956237,check_refund_policy,67,3.13377
BIL,2138,7.956237,set_up_shipping_address,65,3.040225
BIL,2138,7.956237,create_account,64,2.993452
BIL,2138,7.956237,change_order,61,2.853134
BIL,2138,7.956237,registration_problems,56,2.61927
BIL,2138,7.956237,get_invoice,55,2.572498
BIL,2138,7.956237,cancel_order,53,2.478952
BIL,2138,7.956237,delete_account,50,2.338634
BIL,2138,7.956237,delivery_options,26,1.21609
BIL,2138,7.956237,payment_issue,26,1.21609
BIL,2138,7.956237,place_order,26,1.21609
BIL,2138,7.956237,edit_account,10,0.467727
BLM,1297,4.826585,place_order,192,14.803392
BLM,1297,4.826585,payment_issue,156,12.027756
BLM,1297,4.826585,delivery_options,139,10.717039
BLM,1297,4.826585,check_cancellation_fee,122,9.406322
BLM,1297,4.826585,registration_problems,107,8.249807
BLM,1297,4.826585,set_up_shipping_address,97,7.478797
