normalized_instruction,instruction,category,intent,duplicate_group_size,duplicate_group_rank
do you deliver to <entity>?,do you deliver to {{Delivery City}} ?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery City}} ?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery City}} ?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery City}} ?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery City}} ?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery City}} ?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery City}} ?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery City}} ?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery City}}?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery City}}?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery City}}?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery City}}?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery City}}?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery City}}?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery City}}?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery City}}?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery Country}}?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery Country}}?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery Country}}?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery Country}}?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery Country}}?,DELIVERY,delivery_options,22,1
do you deliver to <entity>?,do you deliver to {{Delivery Country}}?,DELIVERY,delivery_options,22,1
is it possible to order from <entity>?,is it possible to order from {{Delivery City}} ?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery City}} ?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery City}} ?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery City}} ?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery City}} ?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery City}} ?,DELIVERY,delivery_options,22,2
is it possible to order from <entity>?,is it possible to order from {{Delivery City}} ?,DELIVERY,delivery_options,22,2
