ground_truth_intent,predicted_intent,count
cancel_order,cancel_order,11
change_order,change_order,1
change_order,place_order,1
change_shipping_address,change_shipping_address,4
change_shipping_address,set_up_shipping_address,3
check_cancellation_fee,check_cancellation_fee,8
check_cancellation_fee,check_refund_policy,1
check_cancellation_fee,complaint,1
check_invoice,check_invoice,11
check_payment_methods,check_payment_methods,6
check_refund_policy,check_refund_policy,4
complaint,complaint,11
contact_human_agent,contact_human_agent,1
create_account,registration_problems,11
delete_account,cancel_order,1
delete_account,complaint,1
delete_account,registration_problems,8
delivery_options,delivery_options,3
delivery_options,set_up_shipping_address,1
delivery_period,check_invoice,1
edit_account,registration_problems,2
edit_account,set_up_shipping_address,3
get_invoice,check_invoice,10
get_refund,payment_issue,1
newsletter_subscription,complaint,4
newsletter_subscription,newsletter_subscription,3
newsletter_subscription,registration_problems,1
payment_issue,payment_issue,3
place_order,check_invoice,1
place_order,place_order,8
recover_password,complaint,3
recover_password,recover_password,2
recover_password,registration_problems,1
recover_password,set_up_shipping_address,2
registration_problems,registration_problems,9
review,review,3
set_up_shipping_address,change_shipping_address,1
set_up_shipping_address,set_up_shipping_address,6
switch_account,contact_customer_service,1
switch_account,registration_problems,8
switch_account,set_up_shipping_address,1
track_order,check_invoice,1
track_order,place_order,1
track_refund,check_cancellation_fee,2
track_refund,check_invoice,1
track_refund,check_refund_policy,6
