instruction,ground_truth_intent,predicted_intent,ground_truth_needs_human,predicted_needs_human,raw_model_output,response,error_tags
seeing bill from {{Person Name}},check_invoice,check_invoice,False,False,"{
  ""intent"": ""check_invoice"",
  ""category"": ""INVOICE"",
  ""needs_human"": false,
  ""response"": ""Hello! I'm sorry to hear that you've received an invoice from {{Person Name}}. To proceed, you can either check your account for the invoice details or contact {{Person Name}} directly for more information. If you need assistance with this, please let me know.""
}","Hello! I'm sorry to hear that you've received an invoice from {{Person Name}}. To proceed, you can either check your account for the invoice details or contact {{Person Name}} directly for more information. If you need assistance with this, please let me know.",
seeing bill from {{Person Name}},check_invoice,check_invoice,False,False,"{
  ""intent"": ""check_invoice"",
  ""category"": ""INVOICE"",
  ""needs_human"": false,
  ""response"": ""Hello! I'm sorry to hear that you've received an invoice from {{Person Name}}. To proceed, you can either check your account for the invoice details or contact {{Person Name}} directly for more information. If you need assistance with this, please let me know.""
}","Hello! I'm sorry to hear that you've received an invoice from {{Person Name}}. To proceed, you can either check your account for the invoice details or contact {{Person Name}} directly for more information. If you need assistance with this, please let me know.",
need to set my new shipping addrses up,set_up_shipping_address,set_up_shipping_address,False,False,"{
  ""intent"": ""set_up_shipping_address"",
  ""category"": ""SHIPPING"",
  ""needs_human"": false,
  ""response"": ""Please provide your new shipping address details. You can enter the address information here: [Shipping Address Form]. Once you provide the details, we will update your shipping address.""
}","Please provide your new shipping address details. You can enter the address information here: [Shipping Address Form]. Once you provide the details, we will update your shipping address.",
"I want to see the allowed payment methods , how can I do it?",check_payment_methods,check_payment_methods,False,False,"{""intent"":""check_payment_methods"",""category"":""PAYMENT"",""needs_human"":false,""response"":""You can check the allowed payment methods by looking at the payment options available on your account. If you have a registered account, you can usually find this information under the 'Payment Methods' section of your account dashboard. If you don't have an account, you can sign up for one to access this information.""}","You can check the allowed payment methods by looking at the payment options available on your account. If you have a registered account, you can usually find this information under the 'Payment Methods' section of your account dashboard. If you don't have an account, you can sign up for one to access this information.",
how to check the fucking early termination charge?,check_cancellation_fee,check_cancellation_fee,False,False,"{
  ""intent"": ""check_cancellation_fee"",
  ""category"": ""CANCEL"",
  ""needs_human"": false,
  ""response"": ""To check the early termination fee, please contact our customer service team. They can provide you with the necessary information and help you understand the charges.""
}","To check the early termination fee, please contact our customer service team. They can provide you with the necessary information and help you understand the charges.",
I don't know what I need to do to see the termination fees,check_cancellation_fee,check_cancellation_fee,False,False,"{
  ""intent"": ""check_cancellation_fee"",
  ""category"": ""CANCEL"",
  ""needs_human"": false,
  ""response"": ""To see the termination fees, you need to cancel your order. You can do this by contacting our customer service.""
}","To see the termination fees, you need to cancel your order. You can do this by contacting our customer service.",
i want assistance to look for my bill #85632,check_invoice,check_invoice,False,False,"{
  ""intent"": ""check_invoice"",
  ""category"": ""INVOICE"",
  ""needs_human"": false,
  ""response"": ""I can help you check your invoice. Please provide the invoice number so I can assist you further.""
}",I can help you check your invoice. Please provide the invoice number so I can assist you further.,
assistance to check in which cases can I request a refund,check_refund_policy,check_refund_policy,False,False,"{
  ""intent"": ""check_refund_policy"",
  ""category"": ""REFUND"",
  ""needs_human"": false,
  ""response"": ""You can request a refund in cases where the product is defective, the product does not match the description, the product is missing, the product is damaged, or the product does not fulfill the advertised features. Please check the details of your order and the product description to see if you qualify for a refund.""
}","You can request a refund in cases where the product is defective, the product does not match the description, the product is missing, the product is damaged, or the product does not fulfill the advertised features. Please check the details of your order and the product description to see if you qualify for a refund.",
help to switch several products of order {{Order Number}},change_order,switch_order,False,False,"{
  ""intent"": ""switch_order"",
  ""category"": ""ORDER"",
  ""needs_human"": false,
  ""response"": ""Hello! To switch products in your order, you can follow these steps:\n1. Log in to your account.\n2. Go to the 'My Orders' section.\n3. Find the order by the Order Number.\n4. Click on the 'Edit' option for that order.\n5. Select the products you want to switch.\n6. Click 'Save' to complete the switch.\n\nIf you need further assistance, feel free to ask. Have a great day!""
}","Hello! To switch products in your order, you can follow these steps:
1. Log in to your account.
2. Go to the 'My Orders' section.
3. Find the order by the Order Number.
4. Click on the 'Edit' option for that order.
5. Select the products you want to switch.
6. Click 'Save' to complete the switch.

If you need further assistance, feel free to ask. Have a great day!",wrong_intent;invalid_enum
helo to contact an assistant,contact_human_agent,CONTACT,True,False,"{
  ""intent"": ""CONTACT"",
  ""category"": ""CONTACT"",
  ""needs_human"": false,
  ""response"": ""Hello! How can I assist you today? Please provide more details so I can help you effectively.""
}",Hello! How can I assist you today? Please provide more details so I can help you effectively.,wrong_intent;invalid_enum;wrong_needs_human
wanna know about canceling the newsletter subscription,newsletter_subscription,complaint,False,False,"{
  ""intent"": ""complaint"",
  ""category"": ""CONTACT"",
  ""needs_human"": false,
  ""response"": ""To cancel your newsletter subscription, please visit our website and navigate to the 'My Account' section. From there, select 'Manage Subscriptions' and choose to unsubscribe. If you have any issues or need further assistance, feel free to contact our support team.""
}","To cancel your newsletter subscription, please visit our website and navigate to the 'My Account' section. From there, select 'Manage Subscriptions' and choose to unsubscribe. If you have any issues or need further assistance, feel free to contact our support team.",wrong_intent;wrong_category;intent_category_mismatch
